                 ;On-demand-scan ;On-access-scan ;Boot-time-scans ;Heuristics ;CloudAV ;Firewall ;IDS ;IPS ;Sandbox ;Email-Security ;AntiSpam ;Web-protection ;Macro-protection ;Live-Update ;Support ;Settings-Import/Export
Kaspersky        ;             1 ;             1 ;              1 ;         1 ;      0 ;       0 ;  0 ;  0 ;      0 ;             1 ;       0 ;             1 ;               0 ;          1 ;      1 ;                     0
Avast            ;             1 ;             1 ;              1 ;         1 ;      1 ;       1 ;  1 ;  0 ;      1 ;             1 ;       0 ;             1 ;               1 ;          1 ;      1 ;                     0
AVG              ;             1 ;             1 ;              1 ;         1 ;      1 ;       0 ;  0 ;  0 ;      0 ;             1 ;       0 ;             1 ;               1 ;          1 ;      1 ;                     0
Avira            ;             1 ;             1 ;              1 ;         1 ;      1 ;       0 ;  0 ;  0 ;      0 ;             1 ;       1 ;             1 ;               1 ;          1 ;      1 ;                     0
Bitdefender      ;             1 ;             1 ;              1 ;         1 ;      1 ;       0 ;  0 ;  0 ;      0 ;             0 ;       0 ;             1 ;               0 ;          1 ;      1 ;                     0
ZoneAlarm        ;             1 ;             1 ;              0 ;         1 ;      0 ;       1 ;  0 ;  0 ;      0 ;             0 ;       0 ;             0 ;               1 ;          1 ;      1 ;                     1
Immunet          ;             1 ;             1 ;              0 ;         0 ;      1 ;       0 ;  0 ;  0 ;      0 ;             1 ;       0 ;             0 ;               0 ;          1 ;      1 ;                     0
Clam             ;             1 ;             0 ;              1 ;         1 ;      0 ;       0 ;  0 ;  0 ;      0 ;             0 ;       0 ;             0 ;               0 ;          1 ;      0 ;                     0
G-DATA           ;             1 ;             1 ;              1 ;         1 ;      0 ;       0 ;  0 ;  0 ;      0 ;             0 ;       0 ;             1 ;               1 ;          1 ;      1 ;                     0
McAfee           ;             1 ;             1 ;              1 ;         1 ;      0 ;       0 ;  0 ;  0 ;      0 ;             1 ;       0 ;             0 ;               1 ;          1 ;      1 ;                     0
Windows-Defender ;             1 ;             1 ;              0 ;         0 ;      0 ;       1 ;  0 ;  0 ;      1 ;             1 ;       0 ;             0 ;               0 ;          1 ;      1 ;                     1
Panda-Free       ;             1 ;             1 ;              1 ;         1 ;      1 ;       1 ;  0 ;  0 ;      0 ;             0 ;       0 ;             1 ;               1 ;          1 ;      1 ;                     0
Vba32-AntiVirus  ;             1 ;             1 ;              0 ;         0 ;      0 ;       0 ;  0 ;  0 ;      0 ;             0 ;       0 ;             0 ;               0 ;          0 ;      0 ;                     0
